dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch cpitch.order.stm.cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.55 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 onset.order.ltm.onset onset.order.stm.onset onset.weight.ltm onset.weight.stm onset.weight.ltm.onset onset.weight.stm.onset onset.probability onset.information.content onset.entropy onset.0 onset.3 onset.6 onset.9 onset.12 onset.18 onset.24 onset.36 onset.48 onset.72 probability information.content entropy information.gain 
66050922115221 1 1 "shanx001" NA 0 0 1 0 NA 0 0 0 NA NA 83 96 4 600000 NA NA 12 0 0 0 0.5202475 0.47975245 1.0 1.0 0.04170673 4.583576 4.843329 0.029335497 0.029335497 0.02984022 0.029335497 0.03130927 0.032254275 0.02984022 0.034947503 0.03130927 0.030826759 0.04096513 0.04170673 0.030826759 0.040589646 0.0398289 0.03033719 0.0398289 0.02984022 0.044903785 0.035377946 0.03664126 0.03664126 0.044559017 0.031785008 0.04170673 0.02984022 0.031785008 0.03271733 0.031785008 0 0 0.6759683 0.32403168 1.0 1.0 0.15738188 2.6676586 3.1342075 0.15738188 0.035638295 0.035638295 0.035638295 0.12157112 0.07964204 0.1291049 0.09744752 0.15055576 0.15738188 0.0065638833 7.251235 7.977542 NA 
66050922115221 1 2 "shanx001" NA 0 0 1 0 NA 0 12 0 NA NA 83 96 4 600000 NA NA 24 12 1 0 0.5025946 0.4974054 1.0 0.99999994 0.3195578 1.6458513 4.100362 0.017402314 0.017402314 0.01769148 0.017402314 0.018532194 0.0190723 0.01769148 0.02060868 0.018532194 0.018256215 0.024027416 0.024447503 0.018256215 0.032110926 0.023383288 0.017976042 0.023383288 0.01769148 0.02625566 0.020853851 0.04312333 0.02157282 0.054848246 0.018804166 0.3195578 0.01769148 0.047044177 0.019336754 0.047044177 1 0 0.8877534 0.11224651 1.0 1.0 0.45586988 1.133306 2.3407671 0.06916642 0.007615264 0.007615264 0.007615264 0.45586988 0.22436686 0.09512971 0.02853697 0.05052733 0.05355711 0.14567678 2.7791572 6.4411263 1.2063943 
66050922115221 1 3 "shanx001" NA 0 0 1 0 NA 0 24 0 NA NA 83 96 4 600000 NA NA 6 36 2 1 0.65881425 0.34118578 1.0 0.99999994 0.3536773 1.4994943 3.8444874 0.013095305 0.013095305 0.0133812735 0.013095305 0.014220905 0.014766629 0.0133812735 0.016345073 0.014220905 0.013943947 0.019987686 0.020447 0.013943947 0.029231796 0.01928825 0.013664111 0.01928825 0.0133812735 0.022451745 0.016600432 0.060984485 0.017354641 0.074729584 0.014495096 0.3536773 0.0133812735 0.05713525 0.015035599 0.06537632 2 0 0.9271181 0.07288185 1.0 1.0 0.34553522 1.5330954 2.1316562 0.047220353 0.0070907073 0.021363208 0.0070907073 0.43056473 0.0070907073 0.34553522 0.05116499 0.041439656 0.041439656 0.12220796 3.0325897 5.976144 1.0519528 
66050922115221 1 4 "shanx001" NA 0 0 1 0 NA 0 6 0 NA NA 83 96 4 600000 NA NA 6 42 3 1 0.09658531 0.9034147 1.0 1.0 0.66043484 0.5985119 2.5546362 0.011352363 0.011352363 0.011388373 0.011352363 0.0114904335 0.011554044 0.011388373 0.011727355 0.0114904335 0.01145735 0.01207841 0.012118708 0.01145735 0.012770656 0.012015499 0.011423348 0.012015499 0.011388373 0.012286028 0.011754039 0.015278491 0.011830851 0.014654625 0.01152265 0.66043484 0.011388373 0.014089069 0.01158466 0.015355042 3 0 0.7506042 0.24939586 1.0 1.0 0.3353106 1.57643 2.8324876 0.09202193 0.022387458 0.3353106 0.022387458 0.19033678 0.02843252 0.07209975 0.08859222 0.07209975 0.07633152 0.2214508 2.1749418 5.3871193 1.4337003 
66050922115221 1 5 "shanx001" NA 0 0 1 0 NA 0 6 0 NA NA 83 96 4 600000 NA NA 12 48 4 1 0.09025746 0.9097426 1.0 1.0 0.7393444 0.4356815 2.0785944 0.00869271 0.00869271 0.008718475 0.00869271 0.008791468 0.00883694 0.008718475 0.00896075 0.008791468 0.008767812 0.0092111705 0.009239885 0.008767812 0.0097035915 0.009166328 0.008743493 0.009166328 0.008718475 0.009359046 0.008979801 0.013310666 0.009034628 0.011035162 0.0088145 0.7393444 0.008718475 0.010636681 0.00885882 0.011527273 1 0 0.9938285 0.0061715236 0.99999994 1.0 0.7768226 0.36434287 1.4083495 0.033222895 0.008589887 0.7768226 0.008589887 0.0134607935 0.057001136 0.03285754 0.008589887 0.023172174 0.037693176 0.57433945 0.80002445 3.4869454 1.0875722 
66050922115221 1 6 "shanx001" NA 0 0 1 0 NA 0 12 0 NA NA 81 96 4 600000 NA NA 24 60 4 1 0.015894996 0.984105 1.0 1.0 0.0072081713 7.116151 1.6534644 0.0069115623 0.0069115623 0.0069151656 0.0069115623 0.006925327 0.006931621 0.0069151656 0.0069486266 0.006925327 0.006922041 0.006982437 0.0069862655 0.006922041 0.0070467712 0.0069764387 0.006918656 0.0069764387 0.0069151656 0.007002049 0.0069512255 0.007354897 0.006958681 0.0072081713 0.0069285184 0.8043791 0.0069151656 0.007161636 0.0069346405 0.007263768 5 0 0.85739774 0.14260228 1.0 1.0 0.4395509 1.1858978 2.4779286 0.052250568 0.0084088985 0.17045656 0.0084088985 0.4395509 0.145555 0.068738855 0.031984143 0.03837821 0.03626807 0.0031683582 8.302049 4.1313925 1.4873943 
66050922115221 1 7 "shanx001" NA 0 0 1 0 NA 0 24 0 NA NA 81 96 4 600000 NA NA 12 84 3 0 0.22329712 0.7767029 1.0 1.0 0.1845638 2.4378085 3.611941 0.014498831 0.014498831 0.014605378 0.014498831 0.014909768 0.015101285 0.014605378 0.01563014 0.014909768 0.014810708 0.016733155 0.018054485 0.014810708 0.016667152 0.01653235 0.01647119 0.019660378 0.014605378 0.022525424 0.015712483 0.02847091 0.018447522 0.1845638 0.015006589 0.36923873 0.014605378 0.015006589 0.019812148 0.015006589 3 0 0.99682266 0.003177348 1.0 1.0 0.021900471 5.512894 1.2724518 0.023893815 0.0032815668 0.07195164 0.0032815668 0.7955636 0.0032815668 0.021900471 0.027472226 0.023758173 0.025615413 0.004042034 7.9507027 4.884393 1.5181365 
66050922115221 1 8 "shanx001" NA 0 0 1 0 NA 0 12 0 NA NA 79 96 4 600000 NA NA 12 96 2 1 0.0183832 0.98161685 1.0 1.0 0.0057900995 7.4321957 2.1595542 0.0056764167 0.0056764167 0.0056798393 0.0056764167 0.005689493 0.0056954743 0.0056798393 0.005711637 0.005689493 0.0056863716 0.0057437913 0.0057798433 0.0056863716 0.005741923 0.0057380856 0.005736335 0.005820532 0.0056798393 0.0059548216 0.0057141082 0.006004412 0.0057900995 0.5364813 0.0056925258 0.3084693 0.0056798393 0.0056925258 0.006040351 0.0056925258 1 0 0.7682255 0.23177454 1.0 1.0 0.33626503 1.5723294 2.7599428 0.10740312 0.020204885 0.19106305 0.020204885 0.33626503 0.02580501 0.07090245 0.12749135 0.07485518 0.02580501 0.001947008 9.004525 4.919501 1.1708703 
66050922115221 1 9 "shanx001" NA 0 0 1 0 NA 0 12 0 NA NA 76 96 4 600000 NA NA 12 108 2 0 0.78532624 0.2146737 1.0 1.0 0.01872759 5.738691 3.5480409 0.009848875 0.009848875 0.010105784 0.009848875 0.010866135 0.011365009 0.010105784 0.012827582 0.010866135 0.010614349 0.016304187 0.016751783 0.010614349 0.016079126 0.015626395 0.01036092 0.015626395 0.010105784 0.01872759 0.34767827 0.013777547 0.12629746 0.15217477 0.011116336 0.036515042 0.010105784 0.011116336 0.043608394 0.011116336 2 0 0.9823683 0.017631713 1.0 1.0 0.6836407 0.5486897 1.6614993 0.029615441 0.0047418824 0.041055214 0.0047418824 0.6836407 0.15041061 0.025308102 0.025308102 0.02869446 0.006483582 0.012802943 6.287381 5.209539 2.5572221 
66050922115221 1 10 "shanx001" NA 0 0 1 0 NA 0 12 0 NA NA 74 96 4 600000 NA NA 12 120 1 0 0.3203384 0.6796616 1.0 1.0 0.029546726 5.0808578 4.0124636 0.014012309 0.014012309 0.014160269 0.014012309 0.014585542 0.0148550635 0.014160269 0.019052427 0.014585542 0.018321453 0.017210964 0.017402152 0.014446724 0.029608052 0.01691544 0.020903865 0.029546726 0.014160269 0.1617321 0.015725112 0.016068533 0.075617604 0.21662153 0.014721611 0.1289723 0.014160269 0.014721611 0.01498602 0.014721611 3 0 0.7911268 0.20887323 1.0 1.0 0.34157395 1.5497302 2.6647747 0.104383 0.014054873 0.19117317 0.014054873 0.34157395 0.06552494 0.15514559 0.07993808 0.020096524 0.014054873 0.010092393 6.630588 6.677236 1.9872353 
